Município;IBGE - Código;IBGE - Gentílico;IBGE - Prefeito [2025];IBGE - Área Territorial - km² [2025];IBGE - População no último censo - pessoas [2022];IBGE - Densidade demográfica - hab/km² [2022];IBGE - População estimada - pessoas [2026];IBGE - Escolarização 6 a 14 anos - % [2022];IBGE - IDHM [2010];IBGE - Mortalidade infantil - óbitos por mil nascidos vivos [2025];IBGE - Total de receitas brutas realizadas - R$ [2025];IBGE - Total de despesas brutas empenhadas - R$ [2025];IBGE - PIB per capita - R$ [2023];TAXA LESÃO CORPORAL;TAXA AMEAÇA;Possui Delegacia da Mulher?;Possui CAPS?;Quantidade de CAPS;Modalidades de CAPS;Regional de Saúde;Macrorregional de Saúde;LESFEM - Feminicídios consumados 2025;LESFEM - Tentativas de feminicídio 2025;LESFEM - Total de registros 2025;LESFEM - Registros fonte Imprensa 2025;LESFEM - Registros fonte SINESP 2025;SENASP - Feminicídios consumados 2025;SENASP - Tentativas de feminicídio 2025;SENASP - Total vítimas feminicídio/tentativa 2025
MANGUEIRINHA;4114401;mangueirinhense;LEANDRO DORINI;1058,357;16603;15,73;16709;98,9;0,688;9,13;185341636,3;159667851,6;112613,05;240,99;187,44;Não;Sim;1;CAPS I;7ª Regional de Saúde - Pato Branco;Oeste;1;0;1;1;0;1;0;1
BOCAIUVA DO SUL;4103107;bocaiuvense;JOAO DE LIMA;809,682;13299;16,11;13541;98,99;0,64;5,24;91276669,53;74864142,87;22971,54;1001,59;492,85;Não;Não;0;;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
TIJUCAS DO SUL;4127601;tijuquense / tijucano;JOSÉ ALTAIR MOREIRA;672,599;17621;26,23;18646;98,61;0,636;9,09;152518327;141384985,5;31449,71;229,65;185,20;Não;Não;0;;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
ORTIGUEIRA;4117305;ortigueirense;ARY DE OLIVEIRA MATTOS;2431,67;24192;9,96;24808;99,52;0,609;13,2;309618015;245845004,6;148490;374,19;374,19;Não;Sim;1;CAPS I;21ª Regional de Saúde - Telêmaco Borba;Leste;1;0;1;1;0;1;0;1
NOVA ESPERANCA;4116901;nova-esperancense;JOAO EDUARDO PASQUINI;402,051;26585;66,2;27140;98;0,722;15,09;187805170,6;173996580,5;47150,58;240,46;236,58;Não;Sim;1;CAPS I;15ª Regional de Saúde - Maringá;Noroeste;2;1;3;3;0;2;0;2
CAPANEMA;4104501;capanemense;NEIVOR KESSLER;415,961;20481;48,88;21208;99,82;0,706;7,27;158251132,3;129278417,6;77763,81;386,63;274,38;Não;Sim;1;CAPS I;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;0;0;0;0;0;0;0
ASTORGA;4102109;astorgano;SUZIE APARECIDA PUCILLO ZANATTA;435,21;25475;58,59;26262;98,28;0,747;3,51;198769981,3;169135005,2;45723,88;322,58;249,74;Não;Sim;1;CAPS I;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
IBAITI;4109708;ibaitiense;ROBERTO REGAZZO;902,797;28830;32,1;29465;99,26;0,71;5,54;197254528,4;160120186,2;42887,86;282,30;393,37;Não;Não;0;;19ª Regional de Saúde - Jacarezinho;Norte;0;1;1;0;1;0;1;1
MATELANDIA;4115606;matelandiense;GABRIEL DA SILVA CADINI;642,123;18450;28,84;19368;97,81;0,725;6,83;191143049;169517660,8;78092,93;568,77;436,06;Não;Não;0;;9ª Regional de Saúde - Foz do Iguaçu;Oeste;0;0;0;0;0;0;0;0
ARAPOTI;4101606;arapotiense;IRANI JOSE BARROS;1363,843;25777;18,98;26321;99,38;0,723;15,77;249491873,3;223880323,3;63347,91;179,53;236,39;Não;Sim;1;CAPS I;3ª Regional de Saúde - Ponta Grossa;Leste;0;0;0;0;0;0;0;0
MARIALVA;4114807;marialvense;FLAVIA CHERONI DA SILVA BRITA;474,954;41851;88;45360;99,28;0,735;8,16;309337503,3;262732642,3;70837,51;231,26;286,14;Não;Sim;1;CAPS I;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
CORBELIA;4106308;corbeliano;THIAGO DAROSS STEFANELLO;527,607;17470;33,02;18004;98,66;0,738;4,74;173989634,9;180506875,3;56867,78;619,57;358,70;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;0;1;1;1;0;0;1;1
CONTENDA;4106209;contendense;ANTONIO ADAMIR DIGNER;296,488;19128;63,97;20205;99,05;0,681;4,95;141265837,3;135551731;32821,93;318,19;212,12;Não;Sim;1;CAPS I;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
MANDAGUACU;4114104;mandaguaçuense;JOSE ROBERTO MENDES;293,792;31457;106,99;35253;98,63;0,718;11,47;192893591,7;176383424;31643,51;432,50;339,82;Não;Sim;1;CAPS I;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
QUERENCIA DO NORTE;4121000;querenciano;ALEX SANDRO FERNANDES;911,72;10685;11,68;10560;96,96;0,688;18,52;81557127,88;73641396,19;32030,3;423,03;219,35;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;1;1;0;1;0;1;1
NOVA AURORA;4116703;nova-aurorense;JOSE APARECIDO DE PAULA E SOUZA;471,176;13765;29,25;14448;98,8;0,733;-;135031359,6;126633195,7;75612,98;297,23;181,64;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;0;0;0;0;0;0;0;0
MANDIRITUBA;4114302;mandiritubense;FELIPE CLAUDINO MACHADO;378,818;27439;72,36;29437;98,47;0,655;14,79;167032741,6;147910758,3;29207,79;213,28;280,42;Não;Sim;1;CAPS I;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;1;0;1;1;0;1;0;1
JAGUAPITA;4111902;jaguapitãense;EDISON RODRIGUES DE ALMEIDA;475,004;15122;31,84;16085;99,44;0,715;15,87;133901290,2;122323618,9;96051,01;147,44;127,96;Não;Não;0;;17ª Regional de Saúde - Londrina;Norte;1;0;1;1;0;1;0;1
ITAPEJARA DO OESTE;4111209;itapejarense;VILMAR SCHMOLLER;251,364;12344;48,6;12980;98,43;0,731;6,17;114500150,1;100473747,8;78624,87;537,47;304,23;Não;Não;0;;7ª Regional de Saúde - Pato Branco;Oeste;1;0;1;1;0;1;0;1
REBOUCAS;4121505;reboucense;LAERCIO ANTONIO CIPRIANO;485,184;14514;30,12;14846;99,27;0,672;15,31;115300108,6;102066977,9;43802,69;448,31;344,86;Não;Não;0;;4ª Regional de Saúde - Irati;Leste;0;0;0;0;0;0;0;0
WENCESLAU BRAZ;4128500;brazense;LUIZ CARLOS VIDAL;397,685;19188;48,22;19392;100;0,687;14,49;131232334,2;124400545,8;39986,24;355,32;291,36;Não;Não;0;;19ª Regional de Saúde - Jacarezinho;Norte;0;0;0;0;0;0;0;0
TAPEJARA;4126801;tapejarense;RONALDO ADRIANO VILAS BOAS;590,927;15869;26,83;16404;100;0,703;15,46;139261193,9;106245524,4;46073,66;419,82;293,87;Não;Não;0;;13ª Regional de Saúde - Cianorte;Noroeste;0;0;0;0;0;0;0;0
PEABIRU;4118808;peabiruense;JOSÉ MARCOS GONÇALVES LOPES;467,542;13346;28,48;13476;99,37;0,723;6,58;5832982,78;6884907,68;39764,19;371,86;178,49;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;1;1;1;0;0;0;0
JANDAIA DO SUL;4112108;jandaiense-do-sul;BENEDITO JOSE PUPIO;188,103;21408;114,12;22000;95,8;0,747;12,4;153349762,8;135536340,7;44978,71;203,41;162,73;Não;Não;0;;16ª Regional de Saúde - Apucarana;Norte;1;2;3;1;2;1;1;2
BALSA NOVA;4102307;balsa-novense;CLEVER APARECIDO IAVOLSKI POLETTO;347,588;13395;38,39;13994;99,25;0,696;-;135033006,5;100909513;97201,65;364,78;262,64;Não;Não;0;;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
SALTO DO LONTRA;4123006;salto-lontrense;FERNANDO ALBERTO CADORE;311,974;15223;48,68;15800;99,61;0,718;6,33;115107041,8;102316132,3;41283,22;273,71;262,54;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;3;3;1;2;0;3;3
CARAMBEI;4104659;carambiense;ELISANGELA PEDROSO DE OLIVEIRA NUNES;647,021;23283;35,84;24721;99,86;0,728;18,42;209259816,9;191833420,1;85465,6;243,22;228,33;Não;Não;0;;3ª Regional de Saúde - Ponta Grossa;Leste;0;2;2;1;1;0;1;1
VITORINO;4128708;vitorinense;MARCIANO VOTTRI;308,08;9706;31,49;10724;97,79;0,702;6,8;93513007,22;80274010,02;65013,87;493,98;257,28;Não;Não;0;;7ª Regional de Saúde - Pato Branco;Oeste;0;1;1;1;0;0;0;0
FLORESTOPOLIS;4108007;florestopolitano;ONICIO DE SOUZA;246,853;11446;46,37;11667;97,18;0,701;33,61;86485607,55;74756722,54;54502,22;222,55;232,02;Não;Sim;1;CAPS I;17ª Regional de Saúde - Londrina;Norte;0;0;0;0;0;0;0;0
SERTANOPOLIS;4126504;sertanopolense;ANA RUTH SECCO MATTESCO;505,489;15930;31,51;16228;99,66;0,723;18,18;123626357,7;113592302,1;54232,95;312,58;217,45;Não;Não;0;;17ª Regional de Saúde - Londrina;Norte;0;2;2;0;2;0;2;2
SANTA CRUZ DE MONTE CASTELO;4123303;monte-castelense;WILLIAN CEZAR VIEGA;444,966;8613;19,49;8872;99,74;0,71;20,83;70713812,88;62460064,79;44952,45;432,09;338,16;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
RESERVA;4121703;reservense;LUCAS MACHADO RIBEIRO;1646,103;24573;15,02;24856;98;0,618;2,88;184060782,9;177572068,4;31106,12;372,68;291,66;Não;Não;0;;21ª Regional de Saúde - Telêmaco Borba;Leste;1;0;1;1;0;1;0;1
CARLOPOLIS;4104709;carlopolitano;NILTON DOUGLAS DE MEIRA;454,169;16905;37,45;17985;98,51;0,713;14,08;96088748,3;71933659,45;34061,74;383,60;281,31;Não;Não;0;;19ª Regional de Saúde - Jacarezinho;Norte;0;1;1;0;1;0;1;1
SANTA IZABEL DO OESTE;4123808;santa-izabelense;JEAN PIERR CATTO;321,003;14070;43,81;14519;97,49;0,696;-;119487131,1;101351396,8;36537,21;448,07;376,78;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;0;0;0;0;0;0;0
RIO AZUL;4122008;rio-azulense;LEANDRO JASINSKI;596,17;14025;23,41;14174;100;0,687;-;127475484,6;107064549,1;71086,79;182,35;111,89;Não;Não;0;;4ª Regional de Saúde - Irati;Leste;0;0;0;0;0;0;0;0
BARRACAO;4102604;barraconense;JORGE LUIZ SANTIN;161,806;9759;60,53;9904;100;0,706;8,55;86590444,6;79383342,93;33128,04;212,02;177,51;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;1;0;1;0;1;1;0;1
CENTENARIO DO SUL;4105102;centenariense;MELQUIADES TAVIAN JUNIOR;370,629;10832;29,13;10881;98,99;0,668;10;86837029,88;77068967,82;34760,43;171,07;203,66;Não;Não;0;;17ª Regional de Saúde - Londrina;Norte;0;0;0;0;0;0;0;0
MOREIRA SALES;4116109;moreira-salense;LUIZ ANTONIO VOLPATO;356,711;11175;31,59;10955;100;0,675;17,24;96869020;83961889,53;34192,25;289,67;261,41;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;0;0;0;0;0;0;0
GUARANIACU;4109302;guaraniaçuano;JURACI RONALDO CAZELLA;1237,77;13735;11,09;13718;98,89;0,677;18,29;129345608,4;111009040,4;43991,58;529,65;413,38;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;0;0;0;0;0;0;0;0
TIBAGI;4127502;tibagiano;RILDO EMANOEL LEONARDI;2996,47;19961;6,7;20408;99,32;0,664;12,2;224153992,9;181564219,8;72572,74;368,90;341,23;Não;Sim;1;CAPS I;21ª Regional de Saúde - Telêmaco Borba;Leste;0;0;0;0;0;0;0;0
SAO JOAO;4124806;são-joanense;CLOVIS MATEUS CUCCOLOTTO;387,15;11886;30,63;12377;98,49;0,727;6,29;130561121,9;97828365,72;102656,75;368,60;221,16;Não;Não;0;;7ª Regional de Saúde - Pato Branco;Oeste;0;0;0;0;0;0;0;0
GENERAL CARNEIRO;4108502;carneirense;JOEL RICARDO MARTINS FERREIRA;1068,369;11062;10,33;10531;98,76;0,652;-;110367413,5;104664714,8;39531,18;294,49;228,23;Não;Não;0;;6ª Regional de Saúde - União da Vitória;Leste;1;0;1;1;0;1;0;1
SAO JORGE DO OESTE;4125209;são-jorgense ou jorgense;GELSON COELHO DO ROSÁRIO;379,442;9378;24,71;9605;100;0,722;9,62;108100850,6;98171231,58;56677,43;524,41;228,59;Não;Não;0;;8ª Regional de Saúde - Francisco Beltrão;Oeste;0;0;0;0;0;0;0;0
JATAIZINHO;4112702;jatainhense;WILSON FERNANDES;161,132;11813;74,21;11992;99,39;0,687;12,35;97443740,07;82833169,72;25520,19;272,29;314,18;Não;Não;0;;17ª Regional de Saúde - Londrina;Norte;2;1;3;3;0;2;0;2
CANTAGALO;4104451;cantagalense;JOAO KONJUNSKI;568,929;10933;18,74;10548;98,12;0,635;6,02;67033603,6;63685040,87;35372,19;432,04;343,41;Não;Não;0;;5ª Regional de Saúde - Guarapuava;Leste;0;0;0;0;0;0;0;0
CAMBARA;4103602;cambaraense;WALCIR JOAQUIM;367,462;23212;63,39;23352;100;0,721;4,85;161677922,4;134329534,2;42457,02;191,55;348,72;Não;Não;0;;19ª Regional de Saúde - Jacarezinho;Norte;0;0;0;0;0;0;0;0
SANTA TEREZA DO OESTE;4124020;santa-terezense;AMARILDO RIGOLIN;327,737;13174;40,39;14113;99,26;0,705;-;112362777,4;101018288,8;54145,66;163,60;146,38;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;0;0;0;0;0;0;0;0
SANTA FE;4123402;santa-feense;EDSON PALOTTA NETTO;276,262;11378;41,19;11789;99,59;0,705;8,47;96591193,38;82198980,72;39541,74;448,11;212,26;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
RONDON;4122602;rondonense;ROBERTO APARECIDO CORREDATO;557,257;9097;16,39;9261;99,6;0,713;9,17;76416917,09;71668818,37;59221,26;400,04;315,82;Não;Não;0;;13ª Regional de Saúde - Cianorte;Noroeste;0;0;0;0;0;0;0;0
ALTONIA;4100509;altoniano;DIEGO JARDIM PERGO;663,955;18742;28,33;18525;98,08;0,721;-;143288509,6;130405415,3;29153,82;83,82;103,67;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;0;0;0;0;0;0;0;0
TERRA BOA;4127205;terra-bonense;VALTER PERES;323,63;17568;54,75;18278;99,72;0,728;22,42;177151159,4;137935195;40409,98;199,00;274,30;Não;Sim;1;CAPS I;11ª Regional de Saúde - Campo Mourão;Noroeste;0;0;0;0;0;0;0;0
ALTO PARANA;4100608;alto-paranaense;CLAUDEMIR JOIA PEREIRA;409,014;13909;34,11;14198;99,69;0,696;6,45;119017249,1;100901241,6;40453,42;388,94;367,92;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
FLORESTA;4107900;florestense;ROGERIO PEREIRA MENDES;158,334;10458;66,1;11801;99,6;0,736;12,35;88856046,52;78349102,09;34828,85;544,63;378,21;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
IBEMA;4109757;ibemense;VIVIANE COMIRAN;146,547;6218;42,75;6352;98,21;0,685;10,64;51157332,76;45375826,49;33465,91;231,68;132,39;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;0;0;0;0;0;0;0;0
BORRAZOPOLIS;4103305;borrazopolitano;ADILSON LUCCHETTI;338,354;7735;23,13;7809;100;0,717;-;71199620,85;58974399,4;38327,77;361,09;288,87;Não;Não;0;;16ª Regional de Saúde - Apucarana;Norte;0;0;0;0;0;0;0;0
TRES BARRAS DO PARANA;4127858;tribarrense;GERSO FRANCISCO GUSSO;506,963;11135;22,03;11115;99,24;0,681;13,79;112197913,4;105834565,3;40731,89;231,37;163,32;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;0;1;1;1;0;0;1;1
SABAUDIA;4122701;sabaudiense;EDSON HUGO MANUEIRA;191,252;8822;46,35;9678;99,78;0,74;23,62;91937479,79;84184284,44;84033,62;526,48;371,63;Não;Não;0;;16ª Regional de Saúde - Apucarana;Norte;0;1;1;0;1;0;1;1
TERRA ROXA;4127403;terra-roxense;IVAN REIS DA SILVA;801,135;18119;22,63;18719;99,23;0,714;21,74;177196183,9;153786558,1;50852,69;255,16;92,79;Não;Não;0;;20ª Regional de Saúde - Toledo;Oeste;0;0;0;0;0;0;0;0
JOAQUIM TAVORA;4112801;tavorense;GELSON MANSUR NASSAR;288,922;11945;41,31;12415;100;0,7;12,9;99139321,82;90698355,85;73021,84;297,75;288,73;Não;Não;0;;19ª Regional de Saúde - Jacarezinho;Norte;0;0;0;0;0;0;0;0
CAPITAO LEONIDAS MARQUES;4104600;leônidas-marquesiense;MAXWELL SCAPINI;280,109;14648;52,3;14754;99,28;0,716;4,69;124518496,9;112400952,3;88764,32;311,76;321,21;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;2;0;2;2;0;1;0;1
TUNAS DO PARANA;4127882;tunense;MARCO ANTONIO BALDÃO;670,899;6219;9,3;6859;100;0,611;-;66507009,71;53699150,75;22908,32;476,19;297,62;Não;Não;0;;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
SANTA ISABEL DO IVAI;4123709;santa-isabelense;JOÃO CARLOS DA SILVA MENDES;349,425;8912;25,5;9052;98,89;0,72;10,75;78928743,41;70755088,46;32954,62;380,73;261,75;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
PRIMEIRO DE MAIO;4120507;primaiense;BRUNO EDUARDO SANTA ROSA BAUERMAMM ESTEVAM;410,378;10082;24,33;10018;98,97;0,701;-;90445010,74;79894962,1;45871,5;329,05;329,05;Não;Não;0;;17ª Regional de Saúde - Londrina;Norte;0;1;1;0;1;0;1;1
MALLET;4113908;malletense;PEDRO KOWALCZYK;758,509;13428;17,66;13698;98,55;0,708;5,92;103240138,1;86815957,43;72484,08;294,69;248,64;Não;Não;0;;4ª Regional de Saúde - Irati;Leste;0;0;0;0;0;0;0;0
JARDIM ALEGRE;4112504;jardim-alegrense;MOISES LNORTOVZ DOS SANTOS;425,371;12004;29,04;12118;98,46;0,689;15,63;89359465,68;76027597,22;35358,97;224,18;175,14;Não;Não;0;;22ª Regional de Saúde - Ivaiporã;Norte;1;0;1;1;0;1;0;1
ENGENHEIRO BELTRAO;4107504;engenheiro-beltrense;ADALMIR JOSÉ GARBIM JÚNIOR;470,825;12454;26,64;12258;99,28;0,73;8,47;288721084,7;75584771,66;56098,46;169,68;148,47;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;0;0;0;0;0;0;0
ALVORADA DO SUL;4100806;alvoradense-do-sul;MARCOS ANTONIO GASPARELLI;424,25;10326;24,34;10483;99,3;0,708;12,2;98949998,52;101510239,2;42266,4;290,72;327,06;Não;Não;0;;17ª Regional de Saúde - Londrina;Norte;0;0;0;0;0;0;0;0
PORECATU;4120002;porecatuense;AGAMEMNON AUGUSTO ARAUJO PADUAN;291,663;11624;39,85;11113;98,36;0,738;23,81;88360534,53;72060191,66;63054,76;254,66;271,09;Não;Não;0;;17ª Regional de Saúde - Londrina;Norte;0;0;0;0;0;0;0;0
PARANACITY;4118105;paranacitense;JOSE CLAUDIO BATISTA;348,152;9557;27,41;9506;100;0,717;14,49;83491357,12;76478170,9;54160,22;225,47;174,56;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;2;2;0;2;0;2;2
MARILUZ;4115101;mariluzense;PAULO ARMANDO DA SILVA ALVES;430,432;9847;22,73;9886;99,26;0,639;15,15;93559754,13;90996550,48;41023,34;105,56;153,23;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;0;1;1;1;0;0;0;0
CAMPINA DA LAGOA;4103909;campinense-da-lagoa;GIANNY JOSE GRACIOSO BENTO;798,991;15723;19,74;16035;98,55;0,704;13,89;115223541,6;106260071,2;42893,99;125,16;153,42;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;1;1;1;0;0;0;0
INACIO MARTINS;4110201;inácio-martinense;EDMUNDO VIER;938,126;9670;10,33;9477;98,66;0,6;8,2;111039817,7;90768139,09;25847,91;265,67;203,68;Não;Não;0;;4ª Regional de Saúde - Irati;Leste;0;2;2;0;2;0;2;2
CRUZ MACHADO;4106803;cruz-machadense;CARLOS NOWAK;1474,202;15978;10,81;15632;99,36;0,664;9,48;122674655,1;100010151,4;31791,46;162,25;178,47;Não;Não;0;;6ª Regional de Saúde - União da Vitória;Leste;0;0;0;0;0;0;0;0
CATANDUVAS;4105003;catanduvense;ADEMAR LUIZ BURCKHARDT;578,494;10446;18;10636;99,32;0,678;-;87216828,29;79652488,77;39602,22;191,33;184,95;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;0;0;0;0;0;0;0;0
JESUITAS;4112751;jesuitense;EDICARLOS GRIZOTTO DE OLIVEIRA;246,606;10506;42,45;11047;100;0,705;21,51;82447144,24;64415468,1;52977,91;558,66;250,43;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;1;0;1;1;0;0;0;0
IPORA;4110607;iporãense;ROBERTO DA SILVA;648,624;15746;24,3;16149;100;0,706;10,2;126239203,7;106068559,9;53982,44;175,76;345,45;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;1;0;1;1;0;1;0;1
VENTANIA;4128534;ventaniense;JOSE LUIZ BITTENCOURT;819,334;9681;11,82;9742;98,75;0,65;-;86979414,61;83530330,9;39126,52;493,13;193,73;Não;Não;0;;21ª Regional de Saúde - Telêmaco Borba;Leste;0;1;1;0;1;0;1;1
RESERVA DO IGUACU;4121752;reservense do iguaçu;VITORIO ANTUNES DE PAULA;833,085;6553;7,86;6447;98,09;0,648;29,13;80675119,05;78888290,18;39346,76;421,12;225,60;Não;Não;0;;5ª Regional de Saúde - Guarapuava;Leste;0;0;0;0;0;0;0;0
QUITANDINHA;4121208;quitandinhense;JOSÉ RIBEIRO DE MOURA;446,597;18398;41,16;18963;98,56;0,68;24,51;138433903,6;109469928,2;32311,04;163,34;105,01;Não;Não;0;;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
PEROBAL;4118857;perobalense;CRISTIANO CEZAR MERLINI DE ALBUQUERQUE;409,062;7189;17,57;7691;99,53;0,713;11,9;63248038,85;53870879,24;49373,82;248,34;150,78;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;0;0;0;0;0;0;0;0
PALMITAL;4117800;palmitalense;ROBERTO CARLOS ROSSI;821,733;13033;15,94;12766;99,21;0,639;-;105683253,1;101927157,5;31211,59;127,98;187,40;Não;Não;0;;5ª Regional de Saúde - Guarapuava;Leste;0;0;0;0;0;0;0;0
ITAGUAJE;4110904;itaguajeense;RENATO FELIX DE SOUZA;195,493;4481;23,06;4525;98,75;0,707;-;59097528,86;53837796,2;36664,75;400,74;143,12;Não;Não;0;;15ª Regional de Saúde - Maringá;Noroeste;0;0;0;0;0;0;0;0
IMBAU;4110078;imbauense;DAYANE SOVINSKI RODRIGUES;331,94;14249;43,08;15235;94,87;0,622;-;77416071,05;68896340,68;22490,76;173,42;241,55;Não;Não;0;;21ª Regional de Saúde - Telêmaco Borba;Leste;0;0;0;0;0;0;0;0
AGUDOS DO SUL;4100301;agudense-do-sul ou agudense;GENEZIO GONÇALVES DA LUZ;191,336;10233;53,22;10891;98,51;0,66;13,79;87520155,45;73999997;27302,69;709,76;405,58;Não;Não;0;;2ª Regional de Saúde - Metropolitana (Curitiba);Leste;0;0;0;0;0;0;0;0
SIQUEIRA CAMPOS;4126603;siqueirense;LUIZ HENRIQUE GERMANO;277,112;22811;82,04;24299;99,32;0,704;23,18;167884144,5;136597546,2;37311,87;191,02;240,54;Não;Não;0;;19ª Regional de Saúde - Jacarezinho;Norte;1;1;2;1;1;1;0;1
CAMBIRA;4103800;cambirense;ANA LÚCIA DE OLIVEIRA;166,274;9460;57,41;10182;99,51;0,725;18,52;69396729,6;62805044,53;36931,02;452,41;335,12;Não;Sim;1;CAPS I;16ª Regional de Saúde - Apucarana;Norte;1;0;1;0;1;1;0;1
CALIFORNIA;4103503;californiano;PAULO SÉRGIO CHILEIDE;141,817;8710;61,42;9002;99,58;0,722;9,52;69968838,84;55733606,05;28817,34;277,78;164,61;Não;Não;0;;16ª Regional de Saúde - Apucarana;Norte;0;0;0;0;0;0;0;0
BOA VISTA DA APARECIDA;4103057;boa-vistense;EDUARDO JOSE HENRICHS;265,636;7924;29,77;8022;98,22;0,67;-;85502113,47;83565806,35;28071,29;241,18;267,98;Não;Não;0;;10ª Regional de Saúde - Cascavel;Oeste;1;0;1;1;0;1;0;1
SAO JOAO DO IVAI;4125001;são-joanense;FÁBIO HIDEK MIURA;351,885;10667;30,19;10586;100;0,693;-;93794026,07;73549903,77;38494,18;254,53;264,32;Não;Não;0;;22ª Regional de Saúde - Ivaiporã;Norte;0;0;0;0;0;0;0;0
LUIZIANA;4113734;luizianense;EDSON LISS;915,604;6690;7,3;6619;99,01;0,668;-;90690973,54;74597156,54;89587,6;189,05;130,88;Não;Não;0;;11ª Regional de Saúde - Campo Mourão;Noroeste;0;1;1;0;1;0;1;1
JAPURA;4112405;japuraense;ADRIANA CRISTINA POLIZER;165,185;9144;55,36;9430;100;0,712;-;91731429,45;79824272,27;48327,59;337,44;363,40;Não;Não;0;;13ª Regional de Saúde - Cianorte;Noroeste;0;0;0;0;0;0;0;0
IPIRANGA;4110508;ipiranguense;DOUGLAS DAVI CRUZ;902,385;14142;15,7;14321;99,69;0,652;15,79;130307460,2;112602735,9;54879,34;290,80;290,80;Não;Não;0;;3ª Regional de Saúde - Ponta Grossa;Leste;0;1;1;1;0;0;0;0
CIDADE GAUCHA;4105607;cidade-gauchense ou citadino;ALEXANDRE LUCENA;402,241;11467;28,45;11730;98,71;0,718;-;87271982,09;81977451,38;54113,89;273,37;315,42;Não;Não;0;;13ª Regional de Saúde - Cianorte;Noroeste;0;1;1;0;1;0;1;1
ALTO PIQUIRI;4100707;alto-piquirense;GIOVANE MENDES DE CARVALHO;448,373;9727;21,73;9744;99,04;0,676;-;87081619,4;79978977,33;50230,67;411,39;506,33;Não;Não;0;;12ª Regional de Saúde - Umuarama;Noroeste;0;0;0;0;0;0;0;0
TERRA RICA;4127304;terra-riquense;AGNALDO DE SOUZA COSTA;698,25;14842;21,18;14938;98,95;0,71;12,42;148586358,3;132590488;36352,67;155,35;180,20;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
SAO JOAO DO TRIUNFO;4125100;triunfense;MARIO CEZAR DA SILVA;718,68;13726;19,05;13900;100;0,629;25;105480990;92367403,55;63813,74;312,58;250,06;Não;Não;0;;3ª Regional de Saúde - Ponta Grossa;Leste;0;0;0;0;0;0;0;0
PARAISO DO NORTE;4118006;paraisense-do-norte;CARLOS ALBERTO VIZZOTTO;205,222;13245;64,75;13819;100;0,746;11,49;114529720,9;98443581,58;40273,86;203,38;252,20;Não;Não;0;;14ª Regional de Saúde - Paranavaí;Noroeste;0;0;0;0;0;0;0;0
